detector,filter,sample_size,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1
animal_count_6,multi_including_elephant,7,0,6,1,0,0.0,NaN,NaN
animal_count_6,multi_including_ostrich,1,0,1,0,0,NaN,NaN,NaN
animal_count_6,multi_including_warthog,25,0,22,0,3,NaN,0.0,NaN
animal_count_6,multi_including_wildebeest,323,3,281,24,15,0.1111111111111111,0.16666666666666666,0.13333333333333333
animal_count_6,multi_including_none_of_the_five,124,0,103,7,14,0.0,0.0,NaN
animal_count_7,entire_dataset,50270,18,48906,1057,289,0.01674418604651163,0.05863192182410423,0.026049204052098412
animal_count_7,daytime,368,0,359,6,3,0.0,0.0,NaN
animal_count_7,nighttime,183,0,172,9,2,0.0,0.0,NaN
animal_count_7,blank,36734,0,36188,546,0,0.0,NaN,NaN
animal_count_7,non_blank,13536,18,12718,511,289,0.034026465028355386,0.05863192182410423,0.043062200956937795
animal_count_7,one_animal,6172,0,5965,207,0,0.0,NaN,NaN
animal_count_7,simple,4583,0,4389,194,0,0.0,NaN,NaN
animal_count_7,complex,2781,18,2364,110,289,0.140625,0.05863192182410423,0.08275862068965517
animal_count_7,single_species,13045,13,12276,492,264,0.02574257425742574,0.04693140794223827,0.03324808184143223
animal_count_7,only_buffalo,1169,1,1087,41,40,0.023809523809523808,0.024390243902439025,0.024096385542168676
animal_count_7,only_elephant,1190,0,1124,35,31,0.0,0.0,NaN
animal_count_7,only_ostrich,356,0,351,5,0,0.0,NaN,NaN
animal_count_7,only_warthog,1090,0,1057,33,0,0.0,NaN,NaN
animal_count_7,only_wildebeest,3057,11,2807,152,87,0.06748466257668712,0.11224489795918367,0.08429118773946359
animal_count_7,only_other,6183,1,5850,226,106,0.004405286343612335,0.009345794392523364,0.005988023952095809
animal_count_7,multi_species,491,5,442,19,25,0.20833333333333334,0.16666666666666666,0.1851851851851852
animal_count_7,multi_including_buffalo,18,0,16,1,1,0.0,0.0,NaN
animal_count_7,multi_including_elephant,7,0,6,1,0,0.0,NaN,NaN
animal_count_7,multi_including_ostrich,1,0,1,0,0,NaN,NaN,NaN
animal_count_7,multi_including_warthog,25,1,21,1,2,0.5,0.3333333333333333,0.4
animal_count_7,multi_including_wildebeest,323,5,287,10,21,0.3333333333333333,0.19230769230769232,0.2439024390243902
animal_count_7,multi_including_none_of_the_five,124,0,115,6,3,0.0,0.0,NaN
animal_count_8,entire_dataset,50270,2,49209,816,243,0.0024449877750611247,0.00816326530612245,0.003762935089369708
animal_count_8,daytime,368,0,365,2,1,0.0,0.0,NaN
animal_count_8,nighttime,183,0,181,2,0,0.0,NaN,NaN
animal_count_8,blank,36734,0,36354,380,0,0.0,NaN,NaN
animal_count_8,non_blank,13536,2,12855,436,243,0.0045662100456621,0.00816326530612245,0.005856515373352854
animal_count_8,one_animal,6172,0,6007,165,0,0.0,NaN,NaN
animal_count_8,simple,4583,0,4408,175,0,0.0,NaN,NaN
animal_count_8,complex,2781,2,2440,96,243,0.02040816326530612,0.00816326530612245,0.011661807580174927
animal_count_8,single_species,13045,1,12405,415,224,0.002403846153846154,0.0044444444444444444,0.0031201248049922
animal_count_8,only_buffalo,1169,0,1119,22,28,0.0,0.0,NaN
animal_count_8,only_elephant,1190,0,1157,20,13,0.0,0.0,NaN
animal_count_8,only_ostrich,356,0,352,4,0,0.0,NaN,NaN
animal_count_8,only_warthog,1090,0,1076,14,0,0.0,NaN,NaN
animal_count_8,only_wildebeest,3057,1,2820,134,102,0.007407407407407408,0.009708737864077669,0.008403361344537815
animal_count_8,only_other,6183,0,5881,221,81,0.0,0.0,NaN
animal_count_8,multi_species,491,1,450,21,19,0.045454545454545456,0.05,0.04761904761904762
animal_count_8,multi_including_buffalo,18,0,17,1,0,0.0,NaN,NaN
animal_count_8,multi_including_elephant,7,0,7,0,0,NaN,NaN,NaN
animal_count_8,multi_including_ostrich,1,0,1,0,0,NaN,NaN,NaN
animal_count_8,multi_including_warthog,25,0,23,0,2,NaN,0.0,NaN
animal_count_8,multi_including_wildebeest,323,1,289,17,16,0.05555555555555555,0.058823529411764705,0.05714285714285714
animal_count_8,multi_including_none_of_the_five,124,0,120,3,1,0.0,0.0,NaN
animal_count_9,entire_dataset,50270,5,49514,598,153,0.008291873963515755,0.03164556962025317,0.013140604467805518
animal_count_9,daytime,368,0,365,3,0,0.0,NaN,NaN
animal_count_9,nighttime,183,0,177,6,0,0.0,NaN,NaN
animal_count_9,blank,36734,0,36460,274,0,0.0,NaN,NaN
animal_count_9,non_blank,13536,5,13054,324,153,0.015197568389057751,0.03164556962025317,0.02053388090349076
animal_count_9,one_animal,6172,0,6044,128,0,0.0,NaN,NaN
animal_count_9,simple,4583,0,4454,129,0,0.0,NaN,NaN
animal_count_9,complex,2781,5,2556,67,153,0.06944444444444445,0.03164556962025317,0.04347826086956522
animal_count_9,single_species,13045,4,12597,310,134,0.012738853503184714,0.028985507246376812,0.01769911504424779
animal_count_9,only_buffalo,1169,1,1129,20,19,0.047619047619047616,0.05,0.04878048780487805
animal_count_9,only_elephant,1190,0,1147,26,17,0.0,0.0,NaN
animal_count_9,only_ostrich,356,0,353,3,0,0.0,NaN,NaN
animal_count_9,only_warthog,1090,0,1075,15,0,0.0,NaN,NaN
animal_count_9,only_wildebeest,3057,2,2918,88,49,0.022222222222222223,0.0392156862745098,0.02836879432624113
animal_count_9,only_other,6183,1,5975,158,49,0.006289308176100629,0.02,0.009569377990430623
animal_count_9,multi_species,491,1,457,14,19,0.06666666666666667,0.05,0.05714285714285715
animal_count_9,multi_including_buffalo,18,0,17,1,0,0.0,NaN,NaN
animal_count_9,multi_including_elephant,7,0,4,0,3,NaN,0.0,NaN
animal_count_9,multi_including_ostrich,1,0,1,0,0,NaN,NaN,NaN
animal_count_9,multi_including_warthog,25,0,20,2,3,0.0,0.0,NaN
animal_count_9,multi_including_wildebeest,323,1,301,10,11,0.09090909090909091,0.08333333333333333,0.08695652173913043
animal_count_9,multi_including_none_of_the_five,124,0,120,2,2,0.0,0.0,NaN
animal_count_10,entire_dataset,50270,3,49664,441,162,0.006756756756756757,0.01818181818181818,0.009852216748768473
animal_count_10,daytime,368,0,365,2,1,0.0,0.0,NaN
animal_count_10,nighttime,183,0,181,2,0,0.0,NaN,NaN
animal_count_10,blank,36734,0,36544,190,0,0.0,NaN,NaN
animal_count_10,non_blank,13536,3,13120,251,162,0.011811023622047244,0.01818181818181818,0.01431980906921241
animal_count_10,one_animal,6172,0,6063,109,0,0.0,NaN,NaN
animal_count_10,simple,4583,0,4489,94,0,0.0,NaN,NaN
animal_count_10,complex,2781,3,2568,48,162,0.058823529411764705,0.01818181818181818,0.027777777777777783
animal_count_10,single_species,13045,3,12651,241,150,0.012295081967213115,0.0196078431372549,0.015113350125944584
animal_count_10,only_buffalo,1169,0,1118,19,32,0.0,0.0,NaN
animal_count_10,only_elephant,1190,1,1169,14,6,0.06666666666666667,0.14285714285714285,0.09090909090909091
animal_count_10,only_ostrich,356,0,355,1,0,0.0,NaN,NaN
animal_count_10,only_warthog,1090,0,1078,12,0,0.0,NaN,NaN
animal_count_10,only_wildebeest,3057,1,2928,58,70,0.01694915254237288,0.014084507042253521,0.015384615384615385
animal_count_10,only_other,6183,1,6003,137,42,0.007246376811594203,0.023255813953488372,0.011049723756906077
animal_count_10,multi_species,491,0,469,10,12,0.0,0.0,NaN
animal_count_10,multi_including_buffalo,18,0,18,0,0,NaN,NaN,NaN
animal_count_10,multi_including_elephant,7,0,7,0,0,NaN,NaN,NaN
animal_count_10,multi_including_ostrich,1,0,1,0,0,NaN,NaN,NaN
animal_count_10,multi_including_warthog,25,0,25,0,0,NaN,NaN,NaN
animal_count_10,multi_including_wildebeest,323,0,303,10,10,0.0,0.0,NaN
animal_count_10,multi_including_none_of_the_five,124,0,122,0,2,NaN,0.0,NaN
animal_type_buffalo,entire_dataset,50270,387,41179,7904,800,0.04667711976842359,0.32603201347935973,0.08166279805866217
animal_type_buffalo,daytime,368,0,308,57,3,0.0,0.0,NaN
animal_type_buffalo,nighttime,183,0,127,56,0,0.0,NaN,NaN
animal_type_buffalo,blank,36734,0,32091,4643,0,0.0,NaN,NaN
animal_type_buffalo,non_blank,13536,387,9088,3261,800,0.10608552631578948,0.32603201347935973,0.16008273009307133
animal_type_buffalo,one_animal,6172,146,4280,1428,318,0.09275730622617535,0.3146551724137931,0.14327772325809618
animal_type_buffalo,simple,4583,138,2965,1203,277,0.1029082774049217,0.3325301204819277,0.15717539863325738
animal_type_buffalo,complex,2781,103,1843,630,205,0.14051841746248295,0.3344155844155844,0.1978866474543708
animal_type_buffalo,single_species,13045,381,8739,3137,788,0.10830017055144969,0.32591958939264326,0.1625773415831022
animal_type_buffalo,only_buffalo,1169,381,0,0,788,1.0,0.32591958939264326,0.4916129032258064
animal_type_buffalo,only_elephant,1190,0,768,422,0,0.0,NaN,NaN
animal_type_buffalo,only_ostrich,356,0,288,68,0,0.0,NaN,NaN
animal_type_buffalo,only_warthog,1090,0,819,271,0,0.0,NaN,NaN
animal_type_buffalo,only_wildebeest,3057,0,2111,946,0,0.0,NaN,NaN
animal_type_buffalo,only_other,6183,0,4753,1430,0,0.0,NaN,NaN
animal_type_buffalo,multi_species,491,6,349,124,12,0.046153846153846156,0.3333333333333333,0.08108108108108109
animal_type_buffalo,multi_including_buffalo,18,6,0,0,12,1.0,0.3333333333333333,0.5
animal_type_buffalo,multi_including_elephant,7,0,6,1,0,0.0,NaN,NaN
animal_type_buffalo,multi_including_ostrich,1,0,1,0,0,NaN,NaN,NaN
animal_type_buffalo,multi_including_warthog,25,1,19,3,2,0.25,0.3333333333333333,0.28571428571428575
animal_type_buffalo,multi_including_wildebeest,323,0,237,86,0,0.0,NaN,NaN
animal_type_buffalo,multi_including_none_of_the_five,124,0,90,34,0,0.0,NaN,NaN
animal_type_elephant,entire_dataset,50270,277,44691,4382,920,0.05945481863060743,0.23141186299081035,0.09460382513661203
animal_type_elephant,daytime,368,1,326,34,7,0.02857142857142857,0.125,0.04651162790697674
animal_type_elephant,nighttime,183,0,144,39,0,0.0,NaN,NaN
animal_type_elephant,blank,36734,0,34048,2686,0,0.0,NaN,NaN
